ACCx,ACCy,ACCz,GYROx,GYROy,GYROz,Magx,Magy,Magz,时间[yyyy-mm-dd|hh:mm:ss.ss]
加速度分辨率: 16384LBS/g,陀螺仪分辨率: 32.8LBS/dps
0,0,0,0,0,0,117,417,0,2016/8/6|23:03:08.578
0,0,0,0,0,0,122,104,0,2016/8/6|23:03:08.583
0,0,0,5,0,0,122,104,0,2016/8/6|23:03:08.601
0,0,0,5,0,0,119,0,0,2016/8/6|23:03:08.624
0,0,0,5,0,0,114,0,0,2016/8/6|23:03:08.628
0,0,0,5,0,0,119,312,0,2016/8/6|23:03:08.646
0,0,0,5,0,0,129,312,0,2016/8/6|23:03:08.656
0,0,0,6,0,0,139,209,0,2016/8/6|23:03:08.682
0,0,0,6,0,0,147,209,0,2016/8/6|23:03:08.693
0,0,0,7,0,0,148,104,0,2016/8/6|23:03:08.713
0,0,0,7,0,0,148,104,0,2016/8/6|23:03:08.716
0,0,0,7,0,0,143,-103,0,2016/8/6|23:03:08.761
0,0,0,7,0,0,134,-103,0,2016/8/6|23:03:08.761
0,0,0,7,0,0,134,209,0,2016/8/6|23:03:08.794
0,0,0,8,0,0,140,209,0,2016/8/6|23:03:08.794
0,0,0,8,0,0,146,104,0,2016/8/6|23:03:08.800
0,0,0,8,0,0,150,104,0,2016/8/6|23:03:08.825
0,0,0,8,0,0,160,312,0,2016/8/6|23:03:08.844
0,0,0,9,0,0,171,312,0,2016/8/6|23:03:08.851
0,0,0,10,0,0,172,209,0,2016/8/6|23:03:08.870
0,0,0,10,0,0,172,209,0,2016/8/6|23:03:08.887
0,0,0,10,0,0,172,209,0,2016/8/6|23:03:08.896
0,0,0,11,0,0,169,209,0,2016/8/6|23:03:08.902
0,0,0,11,0,0,157,104,0,2016/8/6|23:03:08.913
0,0,0,12,0,0,149,104,0,2016/8/6|23:03:08.930
0,0,0,12,0,0,149,104,0,2016/8/6|23:03:08.976
0,0,0,12,0,0,150,104,0,2016/8/6|23:03:08.977
0,0,0,12,0,0,146,-208,-6,2016/8/6|23:03:08.989
0,0,0,12,0,0,132,-208,-10,2016/8/6|23:03:08.989
0,0,0,12,0,0,119,104,-10,2016/8/6|23:03:09.4
0,0,0,12,0,0,111,104,-8,2016/8/6|23:03:09.28
0,0,0,13,0,0,101,-103,-9,2016/8/6|23:03:09.40
0,0,0,13,0,0,89,-103,-11,2016/8/6|23:03:09.51
0,0,0,12,0,0,86,104,-10,2016/8/6|23:03:09.64
0,0,0,13,0,0,89,104,-7,2016/8/6|23:03:09.94
0,0,0,13,0,0,98,104,-5,2016/8/6|23:03:09.106
0,0,0,13,0,0,102,104,-2,2016/8/6|23:03:09.106
0,0,0,14,0,0,104,312,3,2016/8/6|23:03:09.125
0,0,0,14,0,0,110,312,10,2016/8/6|23:03:09.141
0,0,0,15,0,0,116,209,17,2016/8/6|23:03:09.151
0,0,0,15,0,1,117,209,22,2016/8/6|23:03:09.186
0,0,0,16,0,3,113,209,27,2016/8/6|23:03:09.186
0,0,0,16,0,5,110,209,33,2016/8/6|23:03:09.213
0,0,0,16,0,7,104,0,35,2016/8/6|23:03:09.246
0,0,0,16,0,7,95,0,36,2016/8/6|23:03:09.246
0,0,0,17,0,8,89,104,39,2016/8/6|23:03:09.260
0,0,0,17,0,8,86,104,42,2016/8/6|23:03:09.274
0,0,0,17,0,9,92,312,48,2016/8/6|23:03:09.289
0,0,0,18,0,9,101,312,56,2016/8/6|23:03:09.308
0,0,0,18,0,10,110,312,64,2016/8/6|23:03:09.319
0,0,0,19,0,11,123,312,72,2016/8/6|23:03:09.332
0,0,0,19,0,12,139,104,77,2016/8/6|23:03:09.346
0,0,0,20,0,13,148,104,81,2016/8/6|23:03:09.354
0,0,0,20,0,14,151,209,86,2016/8/6|23:03:09.365
0,0,0,20,0,15,159,209,92,2016/8/6|23:03:09.392
0,0,0,21,0,16,169,104,96,2016/8/6|23:03:09.407
0,0,0,21,0,16,175,104,99,2016/8/6|23:03:09.408
0,0,0,21,0,18,172,0,101,2016/8/6|23:03:09.453
0,0,0,21,0,18,168,0,102,2016/8/6|23:03:09.453
0,0,0,21,0,19,166,104,105,2016/8/6|23:03:09.455
0,0,0,21,0,19,163,104,108,2016/8/6|23:03:09.471
0,0,0,22,0,20,154,104,112,2016/8/6|23:03:09.486
0,0,0,22,0,20,147,104,115,2016/8/6|23:03:09.517
0,0,0,22,0,21,145,209,120,2016/8/6|23:03:09.517
0,0,0,22,0,21,145,209,125,2016/8/6|23:03:09.531
0,0,0,23,0,21,142,104,129,2016/8/6|23:03:09.547
0,0,0,23,0,22,141,104,132,2016/8/6|23:03:09.573
0,0,0,23,0,22,142,0,134,2016/8/6|23:03:09.573
0,0,0,23,0,23,141,0,135,2016/8/6|23:03:09.588
0,0,0,23,0,23,139,104,137,2016/8/6|23:03:09.617
0,0,0,23,0,23,136,104,140,2016/8/6|23:03:09.618
0,0,0,23,0,23,124,0,141,2016/8/6|23:03:09.644
0,0,0,23,0,23,111,0,141,2016/8/6|23:03:09.647
0,0,0,23,0,24,104,209,145,2016/8/6|23:03:09.678
0,0,0,24,0,24,102,209,150,2016/8/6|23:03:09.695
0,0,0,24,0,24,101,0,152,2016/8/6|23:03:09.702
0,0,0,24,0,24,95,0,152,2016/8/6|23:03:09.704
0,0,0,24,0,24,86,0,152,2016/8/6|23:03:09.737
0,0,0,24,0,24,78,0,153,2016/8/6|23:03:09.751
0,0,0,24,0,24,80,209,156,2016/8/6|23:03:09.763
0,0,0,24,0,24,86,209,160,2016/8/6|23:03:09.776
0,0,0,24,0,23,89,0,162,2016/8/6|23:03:09.798
0,0,0,24,0,23,87,0,162,2016/8/6|23:03:09.829
0,0,0,24,0,23,80,-103,160,2016/8/6|23:03:09.841
0,0,0,24,0,23,71,-103,157,2016/8/6|23:03:09.841
0,0,0,24,0,23,65,0,156,2016/8/6|23:03:09.850
0,0,0,24,0,23,59,0,156,2016/8/6|23:03:09.859
0,0,0,24,0,22,56,209,158,2016/8/6|23:03:09.887
0,0,0,24,0,22,58,209,162,2016/8/6|23:03:09.898
0,0,0,24,0,21,59,104,165,2016/8/6|23:03:09.911
0,0,0,24,0,21,61,104,167,2016/8/6|23:03:09.921
0,0,0,24,0,21,62,0,167,2016/8/6|23:03:09.950
0,0,0,24,0,21,61,0,166,2016/8/6|23:03:09.950
0,0,0,24,0,20,56,0,165,2016/8/6|23:03:09.966
0,0,0,24,0,20,53,0,164,2016/8/6|23:03:09.983
0,0,0,24,0,20,56,104,165,2016/8/6|23:03:09.993
0,0,0,24,0,19,58,104,166,2016/8/6|23:03:10.10
0,0,0,24,0,19,59,312,170,2016/8/6|23:03:10.25
0,0,0,24,0,19,67,312,176,2016/8/6|23:03:10.48
0,0,0,25,0,19,80,312,182,2016/8/6|23:03:10.62
0,0,0,25,0,19,93,312,188,2016/8/6|23:03:10.69
0,0,0,25,0,19,104,209,192,2016/8/6|23:03:10.85
